"","Fund Net Returns January","February","March","April","May","June","July","August","September","October","November","December","YTD","ITD","LINK TO 2024 AUDIT","","","","","","","","","",""
"2026","-1.11%","1.39%","2.94%","2.12%","","","","","","","","","5.40%","76.57%","LINK TO 2025 AUDIT","","","","","","","","","",""
"2025","5.16%","0.27%","5.57%","8.73%","4.63%","-4.00%","2.64%","1.71%","2.01%","1.42%","0.43%","0.44%","32.44%","67.52%","","","","","","","","","","",""
"2024","-2.38%","5.14%","6.47%","-5.45%","3.46%","1.79%","1.27%","4.73%","7.84%","-6.36%","7.41%","-2.52%","22.02%","26.49%","","","","","","","","","","",""
"2023","","NA","","","","","","","","","-4.58%","8.63%","3.65%","3.65%","","","","","","","","","","",""
"AUDITED ANNUAL RECONCILIATION ","","","","","","","","","","","","","","","","","","","","","","","","",""
"Inception – 12/31/2024 (audited net):","26.49%","Spicer Jeffries Note 7","","","","","","","","","","","","","","","","","","","","","","",""
"Monthly compound for same period:","26.49%","Should equal 26.49%","","","","","","","","","","","","","","","","","","","","","","",""
"FY 2025 (audited net):","32.44%","Cherry Bekaert Note 7","","","","","","","","","","","","","","","","","","","","","","",""
"Monthly compound 2025:","32.44%","Should equal 32.44%","","","","","","","","","","","","","","","","","","","","","","",""
"Cumulative thru 12/31/2025 audited:","67.52%","67.52%","","","","","","","","","","","","","","","","","","","","","","",""
"Monthly compound thru 12/31/2025:","67.52%","Should match","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED DISCLOSURES (Rule 206(4)-1)","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Past performance is not indicative of future results. Investment in the Fund involves risk including possible loss of principal.","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Returns shown are net of a 2.0% per annum management fee and a 20% incentive allocation subject to a high-water mark, crystallized quarterly, in accordance with the Fund's Limited Liability Company Agreement.","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Audited annual figures: Period from inception 11/6/2023 through 12/31/2024 net return 26.49% (audited by Spicer Jeffries LLP, report dated 4/29/2025). FY 2025 net return 32.44% (audited by Cherry Bekaert LLP, report dated 3/2/2026). The 2024 audit period is approximately 14 months and is not a calendar year.","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Monthly figures are derived as described in the Methodology section above. Individual limited member returns may vary from these figures based on the timing of capital contributions and withdrawals, individual high-water mark position, and any management fee or incentive allocation modifications applicable to that member.","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. 2026 year-to-date figures are unaudited interim and reflect a representative limited member on standard fee terms (Investor 16371) with continuous capital since inception and no side letter. Pending completion of the 2026 audit.","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. The Fund is offered pursuant to Rule 506 of Regulation D, available only to accredited investors and qualified purchasers. This material is for informational purposes only and does not constitute an offer to sell or solicitation of an offer to buy any security. Such offers are made only by the Fund's offering documents.","","","","","","","","","","","","","","","","","","","","","","","","",""
"7. Volatility, Sharpe ratio, and drawdown statistics are computed from the monthly return series above and are presented for informational purposes. Sharpe ratio assumes a risk-free rate of 0%.","","","","","","","","","","","","","","","","","","","","","","","","",""
