timestamp,expiry,option_type,strike,bid,ask,delta,iv,underlying_price
2026-01-02T09:45:00,2026-01-02,P,4925,1.05,1.25,-0.12,0.22,5000
2026-01-02T09:45:00,2026-01-02,P,4950,3.90,4.10,-0.20,0.22,5000
2026-01-02T09:45:00,2026-01-02,C,5050,3.80,4.00,0.20,0.21,5000
2026-01-02T09:45:00,2026-01-02,C,5075,1.00,1.20,0.12,0.21,5000
2026-01-02T10:00:00,2026-01-02,P,4935,1.00,1.20,-0.12,0.21,5010
2026-01-02T10:00:00,2026-01-02,P,4960,3.60,3.80,-0.20,0.21,5010
2026-01-02T10:00:00,2026-01-02,C,5060,3.40,3.65,0.20,0.20,5010
2026-01-02T10:00:00,2026-01-02,C,5085,0.90,1.10,0.12,0.20,5010
2026-01-02T10:15:00,2026-01-02,P,4935,1.15,1.35,-0.13,0.22,5005
2026-01-02T10:15:00,2026-01-02,P,4960,4.10,4.35,-0.22,0.22,5005
2026-01-02T10:15:00,2026-01-02,C,5055,3.60,3.85,0.20,0.21,5005
2026-01-02T10:15:00,2026-01-02,C,5080,1.00,1.25,0.12,0.21,5005
2026-01-02T10:30:00,2026-01-02,P,4925,0.85,1.05,-0.10,0.20,5025
2026-01-02T10:30:00,2026-01-02,P,4950,2.25,2.50,-0.17,0.20,5025
2026-01-02T10:30:00,2026-01-02,C,5075,3.30,3.55,0.19,0.20,5025
2026-01-02T10:30:00,2026-01-02,C,5100,0.90,1.10,0.11,0.20,5025
2026-01-02T16:00:00,2026-01-02,P,4925,0.00,0.05,-0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,P,4935,0.00,0.05,-0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,P,4950,0.00,0.05,-0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,P,4960,0.00,0.05,-0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5050,0.00,0.05,0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5055,0.00,0.05,0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5060,0.00,0.05,0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5075,0.00,0.05,0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5080,0.00,0.05,0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5085,0.00,0.05,0.00,0.00,5025
2026-01-02T16:00:00,2026-01-02,C,5100,0.00,0.05,0.00,0.00,5025
